id,km,long,lat
NB,48.118,16.233877,47.811652
NBN,47,16.236103,47.821606
FLDH2,45.54,16.238773,47.834629
FLDS31,44.98,16.239787,47.83961
FLDS32,45.056,16.23965,47.838934
FLDU2,43.118,16.243178,47.85622
FLDH1,42.612,16.244099,47.860739
FLDS11,41.385,16.24634,47.871698
FLDS12,41.46,16.246204,47.871028
FLD,39.682,16.24816,47.886967
LB H1,38.382,16.245426,47.898509
LB S21,37.147,16.241551,47.909312
LB S22,37.264,16.241917,47.90829
LB S11,35.776,16.237252,47.921302
LB S12,35.876,16.237566,47.920426
LB,33.68,16.230645,47.939703
BVSH1,32.434,16.226952,47.950588
BVSS11,31.517,16.225629,47.958783
BVSS12,32.1,16.226427,47.953578
BVS,30.34,16.224013,47.969314
BF S21,28.186,16.226009,47.988369
BF S22,28.313,16.225333,47.987319
BF U1,26.737,16.237117,47.99904
BF H1,26.004,16.2431,48.004287
BF,24.14,16.258298,48.0176
MD S31,22.126,16.274732,48.031991
MD S32,22.464,16.271987,48.029587
MD H2,20.832,16.285287,48.041227
MD U2,19.903,16.292877,48.047869
MD H1,19.304,16.297775,48.052155
MD S11,17.334,16.306882,48.068192
MD S12,17.511,16.307091,48.066601
MD,15.209,16.295825,48.085751
BU,12.946,16.288111,48.105244
BUN,12,16.286899,48.113734
LG H1,10.998,16.285589,48.122714
LG,9.611,16.284509,48.135115
LGF,8.825,16.285979,48.142115
LGA,8.24,16.288649,48.147081
WBFS22,7.198,16.296099,48.155003
WBFS12,6.498,16.302758,48.159431
WBFS11,6.062,16.307196,48.161987
WBFS21,6.75,16.300231,48.157926
HET,5.22,16.315762,48.166928
WBB,4.475,16.323343,48.171226
MI,3.437,16.336225,48.174842
MAT,2.442,16.34932,48.176614
MLX,1.226,16.363743,48.181786
WBF,0,16.37901,48.184586
